2021,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
6 cpu,1.68,1.66,1.67,1.68,1.64,1.65,1.68,1.62,1.64,1.62,1.64,1.56
8 cpu,0.3,0.29,0.26,0.32,0.3,0.29,0.3,2.27,0.26,0.27,0.27,0.26
10 cpu,0,0,0,0,0,0,0,0,0,0,0,0
12 cpu,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
16 cpu,0,0,0,0,0,0,0,0,0,0,0,0
2014,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,3.65,3.51,3.5,3.49,2.99,3.4,3.38,3.48,3.24,3.19,3.07,3.11
2 cpu,47.4,46.97,47.15,47.71,46.78,47.67,48.17,48.33,48.3,48.44,48.24,48.75
3 cpu,2.47,2.54,2.54,2.66,2.76,2.82,2.61,2.62,2.68,2.69,2.8,2.8
4 cpu,44.15,44.67,44.52,43.93,45.23,43.97,43.73,43.52,43.78,43.64,43.86,43.34
6 cpu,2,1.99,1.99,1.89,1.92,1.84,1.79,1.73,1.68,1.73,1.71,1.67
8 cpu,0.29,0.29,0.28,0.28,0.29,0.28,0.29,0.28,0.29,0.29,0.3,0.32
10 cpu,0,0,0,0,0,0,0,0,0,0,0,0
12 cpu,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
16 cpu,0,0,0,0,0,0,0,0,0,0,0,0
2013,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,5.15,4.79,4.56,4.39,4.21,3.97,4,3.87,4.02,3.77,3.57,3.66
2 cpu,48.14,47.22,47.8,47.23,47.69,46.68,46.7,46.71,47.03,46.68,46.5,47.58
3 cpu,2.04,1.97,1.98,2.08,2.1,2.18,2.18,2.26,2.28,2.32,2.35,2.43
4 cpu,41.52,41.88,42.85,43.54,43.23,44.41,44.43,44.56,44.13,44.67,45.09,44.01
6 cpu,2.44,2.52,2.44,2.41,2.4,2.44,2.35,2.28,2.19,2.22,2.19,2.01
8 cpu,0.25,0.27,0.26,0.25,0.28,0.26,0.29,0.28,0.3,0.3,0.27,0.28
10 cpu,0,0,0,0,0,0,0,0,0,0,0,0
12 cpu,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
16 cpu,0,0,0,0,0,0,0,0,0,0,0,0
2012,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,5.41,6.44,7.47,8,7.6,7.47,7.18,6.59,6.16,5.82,5.2,5.37
2 cpu,46.27,47.465,48.66,49.83,49.59,49.84,49.64,48.83,48.23,47.83,46.65,48.39
3 cpu,1.39,1.485,1.58,1.62,1.66,1.69,1.72,1.75,1.81,1.86,1.84,1.96
4 cpu,45.02,42.14,39.26,37.65,38.3,38.22,38.7,40.03,41.03,41.69,43.4,41.52
6 cpu,1.47,2.15,2.83,2.7,2.64,2.57,2.53,2.56,2.54,2.56,2.66,2.45
8 cpu,0.07,0.11,0.15,0.15,0.15,0.15,0.16,0.17,0.19,0.2,0.2,0.23
10 cpu,0,0,0,0,0,0,0,0,0,0,0,0
12 cpu,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
16 cpu,0,0,0,0,0,0,0,0,0,0,0,0
2011,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,9.32,8.65,8.24,7.59,7.58,7.06,7.09,6.36,6.16,5.8,5.52,5.9
2 cpu,52.36,51,50.86,50.51,49.53,49.36,48.71,47.97,47.44,46.78,46.49,46.3
3 cpu,1.35,1.37,1.31,1.33,1.34,1.38,1.46,1.35,1.32,1.3,1.39,1.44
4 cpu,36.11,37.96,38.59,39.5,40.29,40.93,41.37,42.84,43.5,44.41,45.02,44.56
6 cpu,0.79,0.95,0.91,0.99,1.17,1.18,1.27,1.4,1.45,1.56,1.47,1.62
8 cpu,0.07,0.06,0.07,0.06,0.08,0.08,0.08,0.07,0.09,0.1,0.7,0.15
10 cpu,0,0,0,0,0,0,0,0,0,0,0,0
12 cpu,0,0.01,0,0.01,0.01,0,0,0.01,0,0.01,0,0.01
16 cpu,0,0,0,0,0,0,0,0,0,0,0,0
2010,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,19.88,17.97,17.56,16.62,17.16,16.31,15.89,14.84,11.9,11.22,10.13,10.19
2 cpu,56.13,55.37,55.16,54.77,55.41,54.94,55,55.27,54.41,53.81,53.32,52.65
3 cpu,0.89,0.98,0.95,1.04,1.06,1.07,1.08,1.15,1.2,1.2,1.29,1.33
4 cpu,23.04,25.62,26.27,27.49,26.21,27.39,27.63,28.24,31.91,33.13,34.52,35.02
6 cpu,0,0,0,0.03,0.1,0.24,0.34,0.45,0.51,0.57,0.66,0.72
8 cpu,0.06,0.06,0.06,0.06,0.07,0.05,0.06,0.05,0.07,0.06,0.06,0.07
10 cpu,0,0,0,0,0,0,0,0,0,0,0,0
12 cpu,0,0,0,0,0,0,0,0,0,0,0,0.01
16 cpu,0,0,0,0,0,0,0,0,0,0,0,0
2009,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,35.44,32.07,29.61,28.56,27.63,26.71,25.55,24.5,23.79,22.8,20.77,18.08
2 cpu,52.07,54.26,55.79,56.15,56.29,56.4,55.99,56.46,56.37,56.12,57.18,56.93
3 cpu,0.49,0.42,0.43,0.5,0.52,0.56,0.64,0.67,0.72,0.8,0.84,0.95
4 cpu,11.58,12.97,14.1,14.75,15.5,16.28,17.77,18.32,19.07,20,21.15,23.99
6 cpu,0,0,0,0,0,0,0,0,0,0,0,0
8 cpu,0.43,0.28,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.07,0.06,0.05
10 cpu,0,0,0,0,0,0,0,0,0,0,0,0
12 cpu,0,0,0,0,0,0,0,0,0,0,0,0
16 cpu,0,0,0,0,0,0,0,0,0,0,0,0
2008,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,,,,,,,46.5,45.02,43.28,42.13,40.2,37.7
2 cpu,,,,,,,45.15,46.12,47.4,47.83,49.27,50.81
3 cpu,,,,,,,0.09,0.14,0.21,0.28,0.34,0.44
4 cpu,,,,,,,8.22,8.68,9.06,9.73,10.12,10.76
6 cpu,,,,,,,0,0,0,0,0,0
8 cpu,,,,,,,0.03,0.03,0.03,0.03,0.03,0.25
10 cpu,,,,,,,0,0,0,0,0,0
12 cpu,,,,,,,0,0,0,0,0,0
16 cpu,,,,,,,0,0,0,0,0,0
